3d-rotation	f101
pocket	f359
polymer	f35a
share	f35b
stackoverflow	f35c
steam-square	f35d
steam	f35e
twitter-box	f35f
twitter	f360
vk	f361
wikipedia	f362
windows	f363
aspect-ratio-alt	f364
aspect-ratio	f365
blur-circular	f366
blur-linear	f367
blur-off	f368
blur	f369
brightness-2	f36a
brightness-3	f36b
brightness-4	f36c
brightness-5	f36d
brightness-6	f36e
brightness-7	f36f
brightness-auto	f370
brightness-setting	f371
broken-image	f372
center-focus-strong	f373
center-focus-weak	f374
compare	f375
crop-16-9	f376
crop-3-2	f377
crop-5-4	f378
crop-7-5	f379
crop-din	f37a
crop-free	f37b
crop-landscape	f37c
crop-portrait	f37d
crop-square	f37e
exposure-alt	f37f
exposure	f380
filter-b-and-w	f381
filter-center-focus	f382
filter-frames	f383
filter-tilt-shift	f384
gradient	f385
grain	f386
graphic-eq	f387
hdr-off	f388
hdr-strong	f389
hdr-weak	f38a
hdr	f38b
iridescent	f38c
leak-off	f38d
leak	f38e
looks	f38f
loupe	f390
panorama-horizontal	f391
panorama-vertical	f392
panorama-wide-angle	f393
photo-size-select-large	f394
photo-size-select-small	f395
picture-in-picture	f396
slideshow	f397
texture	f398
tonality	f399
vignette	f39a
wb-auto	f39b
eject-alt	f39c
eject	f39d
equalizer	f39e
fast-forward	f39f
fast-rewind	f3a0
forward-10	f3a1
forward-30	f3a2
forward-5	f3a3
hearing	f3a4
pause-circle-outline	f3a5
pause-circle	f3a6
pause	f3a7
play-circle-outline	f3a8
play-circle	f3a9
play	f3aa
playlist-audio	f3ab
playlist-plus	f3ac
repeat-one	f3ad
repeat	f3ae
replay-10	f3af
replay-30	f3b0
replay-5	f3b1
replay	f3b2
shuffle	f3b3
skip-next	f3b4
skip-previous	f3b5
stop	f3b6
surround-sound	f3b7
tune	f3b8
volume-down	f3b9
volume-mute	f3ba
volume-off	f3bb
volume-up	f3bc
n-1-square	f3bd
n-2-square	f3be
n-3-square	f3bf
n-4-square	f3c0
n-5-square	f3c1
n-6-square	f3c2
neg-1	f3c3
neg-2	f3c4
plus-1	f3c5
plus-2	f3c6
sec-10	f3c7
sec-3	f3c8
zero	f3c9
airline-seat-flat-angled	f3ca
airline-seat-flat	f3cb
airline-seat-individual-suite	f3cc
airline-seat-legroom-extra	f3cd
airline-seat-legroom-normal	f3ce
airline-seat-legroom-reduced	f3cf
airline-seat-recline-extra	f3d0
airline-seat-recline-normal	f3d1
airplay	f3d2
closed-caption	f3d3
confirmation-number	f3d4
developer-board	f3d5
disc-full	f3d6
explicit	f3d7
flight-land	f3d8
flight-takeoff	f3d9
flip-to-back	f3da
flip-to-front	f3db
group-work	f3dc
hd	f3dd
hq	f3de
markunread-mailbox	f3df
memory	f3e0
nfc	f3e1
play-for-work	f3e2
power-input	f3e3
